구분,시도,상세주소,Latitude,Longitude,사찰명,소속단체(종단)
214,경기,경기도 양평군 옥천면 사나사길 329 (용천리 302),37.5382099,127.5063107,사나사,조계종
215,경기,경기도 양평군 용문면 상원사길 292 (연수리 220-5),37.548276,127.5534537,상원사,조계종
216,경기,경기도 양평군 용문면 용문산로 782 (신점리 625),37.5497335,127.5723678,용문사,조계종
217,경기,경기도 여주시 가남읍 안금3길 3-43 (안금리 99-1 ),37.2288137,127.6053001,대법사,태고종
218,경기,경기도 여주시 금사면 발림길 89-47 (외평리 453번지),37.3908626,127.5112123,대성사,법상종
219,경기,경기도 여주시 신륵사길 73 (천송동 282),37.2974985,127.6615769,신륵사,조계종
220,경기,경기도 여주시 북내면 당전로 345-4 (중암리 438),37.3477907,127.7060966,흥왕사,조계종
221,경기,경기도 연천군 신서면 동내로 970번길 32-268 (내산리 354),38.1283189,127.1528315,원심원사,조계종
222,경기,경기도 오산시 독산성로269번길 144 (지곶동 150),37.1837511,127.0195181,보적사,조계종
223,경기,경기도 용인시 처인구 이동면 어진로 842 (어비리 807-9),37.1080393,127.1982342,동도사,불이종
224,경기,경기도 용인시 처인구 포곡읍 에버랜드로456번길 290 (가실리 산14-2),37.3078804,127.1847731,백련사,조계종
225,경기,경기도 용인시 처인구 원삼면 농촌파크로 126 (고당리 243-2),37.1696823,127.2991336,법륜사,조계종
226,경기,경기도 용인시 처인구 이동면 이원로 471-41 (묵리 478-2),37.1697256,127.2455377,용덕사,조계종
227,경기,경기도 의왕시 왕곡로 323 (왕곡동 산3 ),37.3499163,127.008078,백운사,조계종
228,경기,경기도 의왕시 청계로 475 (청계동 11),37.4118182,127.035081,청계사,조계종
229,경기,경기도 의정부시 망월로28번길 211-500 (호원동 413),37.7047285,127.0213867,망월사,조계종
230,경기,경기도 의정부시 고산로65번길 94 (고산동 647),37.7324377,127.1000205,미륵암,조계종
231,경기,경기도 의정부시 동일로122번길 177 (장암동 산147),37.7011655,127.066482,석림사,조계종
232,경기,경기도 의정부시 호국로 1114번길 142(가능동 산81-219),37.7288475,127.0213334,성불사,조계종
233,경기,경기도 의정부시 망월로28번길 356 (호원동 229-149),37.7069987,127.0310828,원효사,조계종
234,경기,"경기도 의정부시 전좌로155번길 262 (호원동 411, 산89-1)",37.7220437,127.0334867,회룡사,조계종
235,경기,경기도 이천시 장호원읍 경충대로519번길 246-314 (선읍리 930-2),37.1455417,127.5571089,신흥사,조계종
236,경기,경기도 이천시 설성면 설성로570번길 50-319 (자석리 산 51),37.1642232,127.5593553,연화정사,해동종
237,경기,경기도 이천시 백사면 원적로869번길 309-52 (송말리 436),37.35348,127.463296,영원사,조계종
238,경기,경기도 이천시 경충대로2709번길 388 (관고동438),37.2814641,127.4155453,영월암,조계종
239,경기,경기도 파주시 탄현면 필승로 292-33 (성동리 689),37.7697908,126.6870402,검단사,조계종
240,경기,경기도 파주시 광탄면 보광로474번길 87 (영장리 13),37.7529717,126.9197498,보광사,조계종
241,경기,경기도 파주시 월롱면 용상골길 403 (덕은리 268-1),37.7982172,126.7665175,용상사,일승종
242,경기,경기도 파주시 광탄면 혜음로 742-28 (용미리 651-3),37.7517481,126.8580941,용암사,조계종
243,경기,경기도 평택시 진위면 진위로 181-82 (동천리 548),37.1080549,127.1008589,만기사,조계종
244,경기,경기도 평택시 서탄면 장등안길 38 (장등리 621),37.0754211,127.0215038,보국사,태고종
245,경기,경기도 평택시 고덕면 방축4길 22-49 (방축리 103-1),37.0156537,127.0441817,서천사,해동종
246,경기,경기도 평택시 포승읍 호암길 58 (원정리 85-3),37.0026071,126.8219163,수도사,조계종
247,경기,경기도 평택시 현덕면 심복사길 22 (덕목리 115),36.950224,126.9665854,심복사,조계종
248,경기,경기도 평택시 안중읍 용성3길 120-10 (용성리 378),37.0083936,126.9352051,약사사,조계종
249,경기,경기도 평택시 팽성읍 동서촌로 137 (객사리 75),36.9654949,127.066544,자비사,조계종
250,경기,경기도 포천시 호병골길 193 (신읍동 699),37.8994154,127.1719547,왕산사,조계종
251,경기,경기도 포천시 이동면 포화로 236-73 (도평리 38),38.0715774,127.4100493,흥룡사,조계종
252,경기,경기 포천시 영북면 산정호수로 808,38.0738278,127.3272966,자인사,조계종
253,경기,경기도 화성시 동탄면 풀무골로 219 (중리 140),37.2095917,127.1500322,만의사,조계종
254,경기,경기도 화성시 남양읍 주석로80번길 139 (북양리 642),37.2061009,126.8453641,봉림사,조계종
255,경기,경기도 화성시 서신면 신흥사길 17-34 (상안리 72-15),37.1933889,126.7099836,신흥사,조계종
256,경기,경기도 화성시 용주로 136 (송산동 188),37.2122666,127.0050782,용주사,조계종
257,경기,경기도 부천시 원미구 소사로 367 (원미동 산29-30),37.490942,126.7937105,석왕사,조계종
258,경기,경기도 하남시 서하남로588번길 125 (교산동 55-1),37.5181237,127.2086379,선법사,태고종
259,강원,강원도 강릉시 강동면 정동진리 산17,37.7125923,129.0027189,낙가사,조계종
260,강원,강원도 강릉시 구정면 어단리 산366,37.6757861,128.8912322,법왕사,조계종
261,강원,강원도 강릉시 금학동 29,37.7538335,128.8970934,관음사,조계종
262,강원,강원도 강릉시 사천면 사기막리 821,37.7897926,128.7803157,용연사,조계종
